レコード番号,手配,納品先名,受注番号_行,商品コ－ド,才数,才数2,数量,才数計,計算,出荷日,納品日,出荷数計,運送便コード
79539,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230081_2,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/15,2026/1/15,2026/1/16,,1S
79540,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230081_1,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/15,2026/1/15,2026/1/16,,1S
79541,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230073_4,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/15,2026/1/15,2026/1/16,,1S
79542,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209171_1,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/15,2026/1/15,2026/1/16,,1S
79543,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209162_8,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/15,2026/1/15,2026/1/16,,1S
79544,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206282_4,CE-15W25GWM5,14.1,0,1,14.1,2026/1/15,2026/1/15,2026/1/16,,1S
79545,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249231_1,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/19,2026/1/19,2026/1/20,,1S
79546,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249171_5,XYA-BWSCEC,1.5,0,10,1.5,2026/1/19,2026/1/19,2026/1/20,,1S
79547,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249101_4,MG-55K189W35NN,13.9,0,1,13.9,2026/1/19,2026/1/19,2026/1/20,,1S
79548,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249031_9,MGT-220D1W05NN,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
79549,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244721_5,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/19,2026/1/19,2026/1/20,,1S
79550,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242842_2,MVR-7M-W03LJB61,12.4,0,1,12.4,2026/1/19,2026/1/19,2026/1/20,,1S
79551,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230171_9,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
79552,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230151_9,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
79553,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230151_2,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
79554,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228721_8,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
79555,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209451_3,XYS-BWSSS18K9C2F,8.3,0,1,8.3,2026/1/19,2026/1/19,2026/1/20,,1S
79556,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V254501_1,NT-S12W11N,4.7,0,1,4.7,2026/1/27,2026/1/27,2026/1/28,,1S
79557,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251971_2,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/27,2026/1/27,2026/1/28,,1S
79558,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250361_2,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/27,2026/1/27,2026/1/28,,1S
79559,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249621_1,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/27,2026/1/27,2026/1/28,,1S
79560,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249611_5,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/27,2026/1/27,2026/1/28,,1S
79561,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248951_9,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/27,2026/1/27,2026/1/28,,1S
79562,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248951_4,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/27,2026/1/27,2026/1/28,,1S
79563,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246651_2,XY-BWSCIXX*,42.1,0,2,84.2,2026/1/27,2026/1/27,2026/1/28,,1S
